name,github,website,
10k-swap,https://github.com/10k-swap?q=&type=all&language=typescript&sort=stargazers,https://10kswap.com,
redstone-finance,https://github.com/redstone-finance?q=&type=all&language=typescript&sort=stargazers,https://redstone.finance,
oktadev,https://github.com/oktadev?q=&type=all&language=typescript&sort=stargazers,https://developer.okta.com,
mx-space,https://github.com/mx-space?q=&type=all&language=typescript&sort=stargazers,https://mx-space.js.org/,
amplication,https://github.com/amplication?q=&type=all&language=typescript&sort=stargazers,https://amplication.com,
Gozargah,https://github.com/Gozargah?q=&type=all&language=typescript&sort=stargazers,,
svecosystem,https://github.com/svecosystem?q=&type=all&language=typescript&sort=stargazers,,
Web3Auth,https://github.com/Web3Auth?q=&type=all&language=typescript&sort=stargazers,,
cheshire-cat-ai,https://github.com/cheshire-cat-ai?q=&type=all&language=typescript&sort=stargazers,,
eth-infinitism,https://github.com/eth-infinitism?q=&type=all&language=typescript&sort=stargazers,http://discord.gg/fbDyENb6Y9,
joplin,https://github.com/joplin?q=&type=all&language=typescript&sort=stargazers,https://joplinapp.org,
usememos,https://github.com/usememos?q=&type=all&language=typescript&sort=stargazers,https://usememos.com,
cdklabs,https://github.com/cdklabs?q=&type=all&language=typescript&sort=stargazers,https://aws.amazon.com/cdk,
OpenRouterTeam,https://github.com/OpenRouterTeam?q=&type=all&language=typescript&sort=stargazers,https://openrouter.ai,
camunda-community-hub,https://github.com/camunda-community-hub?q=&type=all&language=typescript&sort=stargazers,https://camunda.com/developers/,
ChatGPTNextWeb,https://github.com/ChatGPTNextWeb?q=&type=all&language=typescript&sort=stargazers,https://nextchat.dev,
nuxt-modules,https://github.com/nuxt-modules?q=&type=all&language=typescript&sort=stargazers,https://nuxt.com/modules,
tabnine,https://github.com/tabnine?q=&type=all&language=typescript&sort=stargazers,https://www.tabnine.com,
HelloGitHub-Team,https://github.com/HelloGitHub-Team?q=&type=all&language=typescript&sort=stargazers,https://hellogithub.com,
SyncfusionExamples,https://github.com/SyncfusionExamples?q=&type=all&language=typescript&sort=stargazers,,
elysiajs,https://github.com/elysiajs?q=&type=all&language=typescript&sort=stargazers,https://elysiajs.com,
DouyinFE,https://github.com/DouyinFE?q=&type=all&language=typescript&sort=stargazers,,
antfu-collective,https://github.com/antfu-collective?q=&type=all&language=typescript&sort=stargazers,,
KYVENetwork,https://github.com/KYVENetwork?q=&type=all&language=typescript&sort=stargazers,https://kyve.network,
pkgxdev,https://github.com/pkgxdev?q=&type=all&language=typescript&sort=stargazers,https://pkgx.dev,
datalens-tech,https://github.com/datalens-tech?q=&type=all&language=typescript&sort=stargazers,https://datalens.tech,
FlashpointProject,https://github.com/FlashpointProject?q=&type=all&language=typescript&sort=stargazers,https://flashpointarchive.org,
0xHoneyJar,https://github.com/0xHoneyJar?q=&type=all&language=typescript&sort=stargazers,https://www.0xhoneyjar.xyz/,
subsquid-quests,https://github.com/subsquid-quests?q=&type=all&language=typescript&sort=stargazers,https://subsquid.io,
mswjs,https://github.com/mswjs?q=&type=all&language=typescript&sort=stargazers,https://mswjs.io,
utterance,https://github.com/utterance?q=&type=all&language=typescript&sort=stargazers,https://utteranc.es,
chathub-dev,https://github.com/chathub-dev?q=&type=all&language=typescript&sort=stargazers,https://chathub.gg,
SevenTV,https://github.com/SevenTV?q=&type=all&language=typescript&sort=stargazers,7tv.app,
twa-dev,https://github.com/twa-dev?q=&type=all&language=typescript&sort=stargazers,https://t.me/twa_dev,
unocss,https://github.com/unocss?q=&type=all&language=typescript&sort=stargazers,https://unocss.dev/,
SigNoz,https://github.com/SigNoz?q=&type=all&language=typescript&sort=stargazers,https://signoz.io/,"last, Go up"
lbg-cloud-platform,https://github.com/lbg-cloud-platform?q=&type=all&language=typescript&sort=stargazers,,
cloudscape-design,https://github.com/cloudscape-design?q=&type=all&language=typescript&sort=stargazers,https://cloudscape.design/,
HipoFinance,https://github.com/HipoFinance?q=&type=all&language=typescript&sort=stargazers,https://hipo.finance,
Telegram-Mini-Apps,https://github.com/Telegram-Mini-Apps?q=&type=all&language=typescript&sort=stargazers,https://ton.org/mini-apps,
caido,https://github.com/caido?q=&type=all&language=typescript&sort=stargazers,https://caido.io,
darkreader,https://github.com/darkreader?q=&type=all&language=typescript&sort=stargazers,http://darkreader.org/,
telia-actions,https://github.com/telia-actions?q=&type=all&language=typescript&sort=stargazers,https://www.teliacompany.com,
Indie-Creator-Community,https://github.com/Indie-Creator-Community?q=&type=all&language=typescript&sort=stargazers,https://discord.gg/77guznJ8mZ,
FhenixProtocol,https://github.com/FhenixProtocol?q=&type=all&language=typescript&sort=stargazers,https://fhenix.io,
gitpoap,https://github.com/gitpoap?q=&type=all&language=typescript&sort=stargazers,gitpoap.io,
FreeYourStream,https://github.com/FreeYourStream?q=&type=all&language=typescript&sort=stargazers,,
apitable,https://github.com/apitable?q=&type=all&language=typescript&sort=stargazers,https://apitable.com,
learnk8s,https://github.com/learnk8s?q=&type=all&language=typescript&sort=stargazers,https://learnk8s.io,
statsfm,https://github.com/statsfm?q=&type=all&language=typescript&sort=stargazers,https://stats.fm,
expressots,https://github.com/expressots?q=&type=all&language=typescript&sort=stargazers,https://expresso-ts.com,
refined-github,https://github.com/refined-github?q=&type=all&language=typescript&sort=stargazers,,
esbuild-kit,https://github.com/esbuild-kit?q=&type=all&language=typescript&sort=stargazers,,
drift-labs,https://github.com/drift-labs?q=&type=all&language=typescript&sort=stargazers,,
nuxt-themes,https://github.com/nuxt-themes?q=&type=all&language=typescript&sort=stargazers,https://nuxt.studio,
zigtools,https://github.com/zigtools?q=&type=all&language=typescript&sort=stargazers,https://install.zigtools.org/,
uni-helper,https://github.com/uni-helper?q=&type=all&language=typescript&sort=stargazers,https://uni-helper.js.org/,
KittyCAD,https://github.com/KittyCAD?q=&type=all&language=typescript&sort=stargazers,https://zoo.dev,
pathwaycom,https://github.com/pathwaycom?q=&type=all&language=typescript&sort=stargazers,https://pathway.com,
slidevjs,https://github.com/slidevjs?q=&type=all&language=typescript&sort=stargazers,https://sli.dev,
opensumi,https://github.com/opensumi?q=&type=all&language=typescript&sort=stargazers,https://opensumi.com,
PlasmoHQ,https://github.com/PlasmoHQ?q=&type=all&language=typescript&sort=stargazers,https://www.plasmo.com,
typeorm,https://github.com/typeorm?q=&type=all&language=typescript&sort=stargazers,,
upptime,https://github.com/upptime?q=&type=all&language=typescript&sort=stargazers,https://upptime.js.org,
sunflower-land,https://github.com/sunflower-land?q=&type=all&language=typescript&sort=stargazers,https://sunflower-land.com,
rome,https://github.com/rome?q=&type=all&language=typescript&sort=stargazers,,
volarjs,https://github.com/volarjs?q=&type=all&language=typescript&sort=stargazers,https://volarjs.dev/,
portapack-mayhem,https://github.com/portapack-mayhem?q=&type=all&language=typescript&sort=stargazers,https://hackrf.app,
Planck-Network,https://github.com/Planck-Network?q=&type=all&language=typescript&sort=stargazers,plancknetwork.com,
ava-innersource,https://github.com/ava-innersource?q=&type=all&language=typescript&sort=stargazers,http://www.avanade.com/,
tinylibs,https://github.com/tinylibs?q=&type=all&language=typescript&sort=stargazers,https://tinylibs.github.io/,
tamagui,https://github.com/tamagui?q=&type=all&language=typescript&sort=stargazers,https://tamagui.dev,
statelyai,https://github.com/statelyai?q=&type=all&language=typescript&sort=stargazers,https://stately.ai,
dev-protocol,https://github.com/dev-protocol?q=&type=all&language=typescript&sort=stargazers,https://devprotocol.xyz,
raydium-io,https://github.com/raydium-io?q=&type=all&language=typescript&sort=stargazers,https://raydium.io/,
JDFED,https://github.com/JDFED?q=&type=all&language=typescript&sort=stargazers,https://www.jd.com/,
ngrx,https://github.com/ngrx?q=&type=all&language=typescript&sort=stargazers,https://ngrx.io,
horizon-ui,https://github.com/horizon-ui?q=&type=all&language=typescript&sort=stargazers,https://horizon-ui.com,
traderjoe-xyz,https://github.com/traderjoe-xyz?q=&type=all&language=typescript&sort=stargazers,traderjoexyz.com,
mrgnlabs,https://github.com/mrgnlabs?q=&type=all&language=typescript&sort=stargazers,https://mrgn.ch,
BasedHardware,https://github.com/BasedHardware?q=&type=all&language=typescript&sort=stargazers,,
vidstack,https://github.com/vidstack?q=&type=all&language=typescript&sort=stargazers,https://www.vidstack.io,
continuedev,https://github.com/continuedev?q=&type=all&language=typescript&sort=stargazers,https://continue.dev,
Equifax-dev,https://github.com/Equifax-dev?q=&type=all&language=typescript&sort=stargazers,,
Solar-network,https://github.com/Solar-network?q=&type=all&language=typescript&sort=stargazers,https://solar.org,
autodesk-platform-services,https://github.com/autodesk-platform-services?q=&type=all&language=typescript&sort=stargazers,http://aps.autodesk.com,
suiet,https://github.com/suiet?q=&type=all&language=typescript&sort=stargazers,suiet.app,
NodleCode,https://github.com/NodleCode?q=&type=all&language=typescript&sort=stargazers,https://nodle.com,
across-protocol,https://github.com/across-protocol?q=&type=all&language=typescript&sort=stargazers,across.to,
n0-computer,https://github.com/n0-computer?q=&type=all&language=typescript&sort=stargazers,https://n0.computer,
get-convex,https://github.com/get-convex?q=&type=all&language=typescript&sort=stargazers,convex.dev,
darkforest-eth,https://github.com/darkforest-eth?q=&type=all&language=typescript&sort=stargazers,,
winget-run,https://github.com/winget-run?q=&type=all&language=typescript&sort=stargazers,https://winget.run,
giscus,https://github.com/giscus?q=&type=all&language=typescript&sort=stargazers,https://giscus.app,
iTwin,https://github.com/iTwin?q=&type=all&language=typescript&sort=stargazers,https://developer.bentley.com,
Chainlit,https://github.com/Chainlit?q=&type=all&language=typescript&sort=stargazers,https://literalai.com/,
triggerdotdev,https://github.com/triggerdotdev?q=&type=all&language=typescript&sort=stargazers,https://trigger.dev,
nestjsx,https://github.com/nestjsx?q=&type=all&language=typescript&sort=stargazers,,
Crossbell-Box,https://github.com/Crossbell-Box?q=&type=all&language=typescript&sort=stargazers,https://crossbell.io/,
teleporthq,https://github.com/teleporthq?q=&type=all&language=typescript&sort=stargazers,https://teleporthq.io,
doki-theme,https://github.com/doki-theme?q=&type=all&language=typescript&sort=stargazers,https://doki-theme.unthrottled.io,
koishijs,https://github.com/koishijs?q=&type=all&language=typescript&sort=stargazers,https://koishi.chat,
dubinc,https://github.com/dubinc?q=&type=all&language=typescript&sort=stargazers,https://dub.co,
argoproj-labs,https://github.com/argoproj-labs?q=&type=all&language=typescript&sort=stargazers,,
pagopa,https://github.com/pagopa?q=&type=all&language=typescript&sort=stargazers,https://www.pagopa.it/it/,
chatgpt-prompts,https://github.com/chatgpt-prompts?q=&type=all&language=typescript&sort=stargazers,https://www.chatgpt-prompts.net,
HylandSoftware,https://github.com/HylandSoftware?q=&type=all&language=typescript&sort=stargazers,http://www.hyland.com,
twentyhq,https://github.com/twentyhq?q=&type=all&language=typescript&sort=stargazers,https://twenty.com,
aws-containers,https://github.com/aws-containers?q=&type=all&language=typescript&sort=stargazers,https://aws.amazon.com/blogs/containers/,
rowyio,https://github.com/rowyio?q=&type=all&language=typescript&sort=stargazers,https://buildship.com,
deco-cx,https://github.com/deco-cx?q=&type=all&language=typescript&sort=stargazers,https://deco.cx,
upex-galaxy,https://github.com/upex-galaxy?q=&type=all&language=typescript&sort=stargazers,https://linktr.ee/upex,
makerkit,https://github.com/makerkit?q=&type=all&language=typescript&sort=stargazers,https://makerkit.dev,
azero-id,https://github.com/azero-id?q=&type=all&language=typescript&sort=stargazers,https://azero.id,
sidebase,https://github.com/sidebase?q=&type=all&language=typescript&sort=stargazers,https://sidebase.io,
po-ui,https://github.com/po-ui?q=&type=all&language=typescript&sort=stargazers,https://po-ui.io,
ceramicnetwork,https://github.com/ceramicnetwork?q=&type=all&language=typescript&sort=stargazers,ceramic.network,
lensapp,https://github.com/lensapp?q=&type=all&language=typescript&sort=stargazers,https://k8slens.dev/,
vuejs-translations,https://github.com/vuejs-translations?q=&type=all&language=typescript&sort=stargazers,,
zenn-dev,https://github.com/zenn-dev?q=&type=all&language=typescript&sort=stargazers,https://zenn.dev,
vendure-ecommerce,https://github.com/vendure-ecommerce?q=&type=all&language=typescript&sort=stargazers,vendure.io,
RabbyHub,https://github.com/RabbyHub?q=&type=all&language=typescript&sort=stargazers,https://rabby.io,
playwright-community,https://github.com/playwright-community?q=&type=all&language=typescript&sort=stargazers,https://playwright.tech,
phosphor-icons,https://github.com/phosphor-icons?q=&type=all&language=typescript&sort=stargazers,https://phosphoricons.com,
8451LLC,https://github.com/8451LLC?q=&type=all&language=typescript&sort=stargazers,https://github.com/8451LLC,
ruscet,https://github.com/ruscet?q=&type=all&language=typescript&sort=stargazers,,
tcet-opensource,https://github.com/tcet-opensource?q=&type=all&language=typescript&sort=stargazers,https://opensource.tcetmumbai.in,
magiclabs,https://github.com/magiclabs?q=&type=all&language=typescript&sort=stargazers,https://magic.link,
ONEARMY,https://github.com/ONEARMY?q=&type=all&language=typescript&sort=stargazers,,
AMAI-GmbH,https://github.com/AMAI-GmbH?q=&type=all&language=typescript&sort=stargazers,https://am.ai,
posit-dev,https://github.com/posit-dev?q=&type=all&language=typescript&sort=stargazers,,
vscode-icons,https://github.com/vscode-icons?q=&type=all&language=typescript&sort=stargazers,https://marketplace.visualstudio.com/items?itemName=vscode-icons-team.vscode-icons,
matro7sh,https://github.com/matro7sh?q=&type=all&language=typescript&sort=stargazers,https://matro7sh.github.io/BypassAV/,
tosspayments,https://github.com/tosspayments?q=&type=all&language=typescript&sort=stargazers,https://www.tosspayments.com,
shapeshift,https://github.com/shapeshift?q=&type=all&language=typescript&sort=stargazers,https://shapeshift.com,
port-labs,https://github.com/port-labs?q=&type=all&language=typescript&sort=stargazers,https://getport.io,
tonwhales,https://github.com/tonwhales?q=&type=all&language=typescript&sort=stargazers,https://tonwhales.com,
