name,github,website,,,
mantinedev,https://github.com/mantinedev?q=&type=all&language=typescript&sort=stargazers,https://mantine.dev/,,,
tldraw,https://github.com/tldraw?q=&type=all&language=typescript&sort=stargazers,https://tldraw.com,,,
thenewboston-developers,https://github.com/thenewboston-developers?q=&type=all&language=typescript&sort=stargazers,https://thenewboston.com/,,,
lens-protocol,https://github.com/lens-protocol?q=&type=all&language=typescript&sort=stargazers,https://lens.xyz/,,,
prompt-engineering,https://github.com/prompt-engineering?q=&type=all&language=typescript&sort=stargazers,https://www.clickprompt.org/,,,
reworkd,https://github.com/reworkd?q=&type=all&language=typescript&sort=stargazers,https://reworkd.ai,,,
alchemyplatform,https://github.com/alchemyplatform?q=&type=all&language=typescript&sort=stargazers,https://www.alchemy.com,,,Review
shardeum,https://github.com/shardeum?q=&type=all&language=typescript&sort=stargazers,https://shardeum.org/,,,
smol-ai,https://github.com/smol-ai?q=&type=all&language=typescript&sort=stargazers,https://twitter.com/SmolModels,,,
LLM-Red-Team,https://github.com/LLM-Red-Team?q=&type=all&language=typescript&sort=stargazers,https://llm-red-team.github.io/free-api/,,,
payloadcms,https://github.com/payloadcms?q=&type=all&language=typescript&sort=stargazers,https://payloadcms.com,,,
code100x,https://github.com/code100x?q=&type=all&language=typescript&sort=stargazers,,,,
langgenius,https://github.com/langgenius?q=&type=all&language=typescript&sort=stargazers,https://dify.ai,,,
quarto-dev,https://github.com/quarto-dev?q=&type=all&language=typescript&sort=stargazers,https://quarto.org,,,
vueuse,https://github.com/vueuse?q=&type=all&language=typescript&sort=stargazers,https://vueuse.org,,,
alan-ai,https://github.com/alan-ai?q=&type=all&language=typescript&sort=stargazers,https://alan.app/platform,,,
backstage,https://github.com/backstage?q=&type=all&language=typescript&sort=stargazers,https://backstage.io,,,
kaogeek,https://github.com/kaogeek?q=&type=all&language=typescript&sort=stargazers,https://kaogeek.dev,,,
snapshot-labs,https://github.com/snapshot-labs?q=&type=all&language=typescript&sort=stargazers,https://snapshot.org,,,
supertokens,https://github.com/supertokens?q=&type=all&language=typescript&sort=stargazers,https://supertokens.com,,,
safe-global,https://github.com/safe-global?q=&type=all&language=typescript&sort=stargazers,safe.global,,,
squareup,https://github.com/squareup?q=&type=all&language=typescript&sort=stargazers,https://squareup.com,,,
ston-fi,https://github.com/ston-fi?q=&type=all&language=typescript&sort=stargazers,https://ston.fi/,,,
LEGO,https://github.com/LEGO?q=&type=all&language=typescript&sort=stargazers,lego.com,,,
getgems-io,https://github.com/getgems-io?q=&type=all&language=typescript&sort=stargazers,getgems.io,,,
refinedev,https://github.com/refinedev?q=&type=all&language=typescript&sort=stargazers,https://refine.dev,,,
VSCodium,https://github.com/VSCodium?q=&type=all&language=typescript&sort=stargazers,https://vscodium.com,,,
SOS-RS,https://github.com/SOS-RS?q=&type=all&language=typescript&sort=stargazers,,,,
wevm,https://github.com/wevm?q=&type=all&language=typescript&sort=stargazers,wevm.dev,,,
spacebarchat,https://github.com/spacebarchat?q=&type=all&language=typescript&sort=stargazers,https://spacebar.chat,,,
DefinitelyTyped,https://github.com/DefinitelyTyped?q=&type=all&language=typescript&sort=stargazers,http://definitelytyped.org/,,,
trpc,https://github.com/trpc?q=&type=all&language=typescript&sort=stargazers,https://trpc.io,,,
drizzle-team,https://github.com/drizzle-team?q=&type=all&language=typescript&sort=stargazers,https://drizzle.team,,,
subsquid,https://github.com/subsquid?q=&type=all&language=typescript&sort=stargazers,subsquid.io,,,
ngneat,https://github.com/ngneat?q=&type=all&language=typescript&sort=stargazers,https://ngneat.com,,,
linear,https://github.com/linear?q=&type=all&language=typescript&sort=stargazers,https://linear.app,,,
AssemblyScript,https://github.com/AssemblyScript?q=&type=all&language=typescript&sort=stargazers,https://www.assemblyscript.org,,,
syncswap,https://github.com/syncswap?q=&type=all&language=typescript&sort=stargazers,syncswap.xyz,,,
nextui-org,https://github.com/nextui-org?q=&type=all&language=typescript&sort=stargazers,https://nextui.org,,,
sst,https://github.com/sst?q=&type=all&language=typescript&sort=stargazers,https://sst.dev,,,
lifinance,https://github.com/lifinance?q=&type=all&language=typescript&sort=stargazers,https://li.fi,,,
element-plus,https://github.com/element-plus?q=&type=all&language=typescript&sort=stargazers,https://element-plus.org,,,
OpenDevin,https://github.com/OpenDevin?q=&type=all&language=typescript&sort=stargazers,,,,
appsmithorg,https://github.com/appsmithorg?q=&type=all&language=typescript&sort=stargazers,https://www.appsmith.com,,,Review
tonkeeper,https://github.com/tonkeeper?q=&type=all&language=typescript&sort=stargazers,https://tonkeeper.com,,,
mdbootstrap,https://github.com/mdbootstrap?q=&type=all&language=typescript&sort=stargazers,https://mdbootstrap.com,,,
gkd-kit,https://github.com/gkd-kit?q=&type=all&language=typescript&sort=stargazers,https://gkd.li,,,
syncfusion,https://github.com/syncfusion?q=&type=all&language=typescript&sort=stargazers,https://www.syncfusion.com,,,
google-github-actions,https://github.com/google-github-actions?q=&type=all&language=typescript&sort=stargazers,https://opensource.google/projects/github-actions,,,
VisActor,https://github.com/VisActor?q=&type=all&language=typescript&sort=stargazers,https://www.visactor.io,,,
LottieFiles,https://github.com/LottieFiles?q=&type=all&language=typescript&sort=stargazers,https://www.lottiefiles.com,,,Review
TomDoesTech,https://github.com/TomDoesTech?q=&type=all&language=typescript&sort=stargazers,https://youtube.com/TomDoesTech,,,
codedamn,https://github.com/codedamn?q=&type=all&language=typescript&sort=stargazers,https://codedamn.com,,,
illacloud,https://github.com/illacloud?q=&type=all&language=typescript&sort=stargazers,https://illacloud.com,,,
unplugin,https://github.com/unplugin?q=&type=all&language=typescript&sort=stargazers,https://github.com/unjs/unplugin,,,
scaffold-eth,https://github.com/scaffold-eth?q=&type=all&language=typescript&sort=stargazers,docs.scaffoldeth.io,,,
poap-xyz,https://github.com/poap-xyz?q=&type=all&language=typescript&sort=stargazers,https://www.poap.xyz,,,
wokwi,https://github.com/wokwi?q=&type=all&language=typescript&sort=stargazers,https://wokwi.com,,,
pnpm,https://github.com/pnpm?q=&type=all&language=typescript&sort=stargazers,https://pnpm.io,,,
VGVentures,https://github.com/VGVentures?q=&type=all&language=typescript&sort=stargazers,https://verygood.ventures,,,
onflow,https://github.com/onflow?q=&type=all&language=typescript&sort=stargazers,https://flow.com,,,
wormhole-foundation,https://github.com/wormhole-foundation?q=&type=all&language=typescript&sort=stargazers,https://wormhole.com/,,,
testdrivenio,https://github.com/testdrivenio?q=&type=all&language=typescript&sort=stargazers,https://testdriven.io,,,
mintlify,https://github.com/mintlify?q=&type=all&language=typescript&sort=stargazers,https://mintlify.com,,,Review
openfga,https://github.com/openfga?q=&type=all&language=typescript&sort=stargazers,https://openfga.dev/,,,
preactjs,https://github.com/preactjs?q=&type=all&language=typescript&sort=stargazers,https://preactjs.com,,,
vbenjs,https://github.com/vbenjs?q=&type=all&language=typescript&sort=stargazers,,,,
Irys-xyz,https://github.com/Irys-xyz?q=&type=all&language=typescript&sort=stargazers,https://irys.xyz,,,
mempool,https://github.com/mempool?q=&type=all&language=typescript&sort=stargazers,https://mempool.space/,,,
zkSync-Community-Hub,https://github.com/zkSync-Community-Hub?q=&type=all&language=typescript&sort=stargazers,https://docs.zksync.io/,,,
hop-protocol,https://github.com/hop-protocol?q=&type=all&language=typescript&sort=stargazers,https://hop.exchange,,,
Kanaries,https://github.com/Kanaries?q=&type=all&language=typescript&sort=stargazers,https://kanaries.net,,,
misskey-dev,https://github.com/misskey-dev?q=&type=all&language=typescript&sort=stargazers,,,,
zkPassOfficial,https://github.com/zkPassOfficial?q=&type=all&language=typescript&sort=stargazers,zkpass.org,,,
thirdweb-example,https://github.com/thirdweb-example?q=&type=all&language=typescript&sort=stargazers,thirdweb.com,,,
webstudio-is,https://github.com/webstudio-is?q=&type=all&language=typescript&sort=stargazers,https://webstudio.is,,,
vitest-dev,https://github.com/vitest-dev?q=&type=all&language=typescript&sort=stargazers,https://vitest.dev,,,
openai-translator,https://github.com/openai-translator?q=&type=all&language=typescript&sort=stargazers,,,,
electron-vite,https://github.com/electron-vite?q=&type=all&language=typescript&sort=stargazers,https://electron-vite.github.io,,,
type-challenges,https://github.com/type-challenges?q=&type=all&language=typescript&sort=stargazers,,,,
an-anime-team,https://github.com/an-anime-team?q=&type=all&language=typescript&sort=stargazers,https://aagl.launcher.moe,,,
Galaxies-dev,https://github.com/Galaxies-dev?q=&type=all&language=typescript&sort=stargazers,https://galaxies.dev,,,
FarmBot,https://github.com/FarmBot?q=&type=all&language=typescript&sort=stargazers,https://farm.bot,,,
remotion-dev,https://github.com/remotion-dev?q=&type=all&language=typescript&sort=stargazers,https://remotion.dev,,,
enmity-mod,https://github.com/enmity-mod?q=&type=all&language=typescript&sort=stargazers,https://enmity.unbound.rip,,,
ton-connect,https://github.com/ton-connect?q=&type=all&language=typescript&sort=stargazers,,,,
maybe-finance,https://github.com/maybe-finance?q=&type=all&language=typescript&sort=stargazers,https://maybe.co,,,
openwallet-foundation,https://github.com/openwallet-foundation?q=&type=all&language=typescript&sort=stargazers,https://openwallet.foundation/,,,
fmhy,https://github.com/fmhy?q=&type=all&language=typescript&sort=stargazers,https://fmhy.net/,,,
typestack,https://github.com/typestack?q=&type=all&language=typescript&sort=stargazers,https://docs.typestack.community/,,,
kubeshop,https://github.com/kubeshop?q=&type=all&language=typescript&sort=stargazers,https://kubeshop.io/,,,Review
PHI-LABS-INC,https://github.com/PHI-LABS-INC?q=&type=all&language=typescript&sort=stargazers,https://philand.xyz/,,,
Authenticator-Extension,https://github.com/Authenticator-Extension?q=&type=all&language=typescript&sort=stargazers,https://authenticator.cc,,,
Heroic-Games-Launcher,https://github.com/Heroic-Games-Launcher?q=&type=all&language=typescript&sort=stargazers,https://heroicgameslauncher.com,,,
jup-ag,https://github.com/jup-ag?q=&type=all&language=typescript&sort=stargazers,https://jup.ag,,,
nodejumper-org,https://github.com/nodejumper-org?q=&type=all&language=typescript&sort=stargazers,https://nodejumper.io,,,
subquery,https://github.com/subquery?q=&type=all&language=typescript&sort=stargazers,https://subquery.network,,,
gitkraken,https://github.com/gitkraken?q=&type=all&language=typescript&sort=stargazers,https://www.gitkraken.com,,,
ethereum-attestation-service,https://github.com/ethereum-attestation-service?q=&type=all&language=typescript&sort=stargazers,https://attest.sh,,,
the-guild-org,https://github.com/the-guild-org?q=&type=all&language=typescript&sort=stargazers,http://the-guild.dev,,,
hydralauncher,https://github.com/hydralauncher?q=&type=all&language=typescript&sort=stargazers,,,,
10k-swap,https://github.com/10k-swap?q=&type=all&language=typescript&sort=stargazers,https://10kswap.com,,,
redstone-finance,https://github.com/redstone-finance?q=&type=all&language=typescript&sort=stargazers,https://redstone.finance,,,
oktadev,https://github.com/oktadev?q=&type=all&language=typescript&sort=stargazers,https://developer.okta.com,,,
mx-space,https://github.com/mx-space?q=&type=all&language=typescript&sort=stargazers,https://mx-space.js.org/,,,
amplication,https://github.com/amplication?q=&type=all&language=typescript&sort=stargazers,https://amplication.com,,,
Gozargah,https://github.com/Gozargah?q=&type=all&language=typescript&sort=stargazers,,,,
Web3Auth,https://github.com/Web3Auth?q=&type=all&language=typescript&sort=stargazers,,,,
svecosystem,https://github.com/svecosystem?q=&type=all&language=typescript&sort=stargazers,,,,
cheshire-cat-ai,https://github.com/cheshire-cat-ai?q=&type=all&language=typescript&sort=stargazers,,,,
eth-infinitism,https://github.com/eth-infinitism?q=&type=all&language=typescript&sort=stargazers,http://discord.gg/fbDyENb6Y9,,,
joplin,https://github.com/joplin?q=&type=all&language=typescript&sort=stargazers,https://joplinapp.org,,,
usememos,https://github.com/usememos?q=&type=all&language=typescript&sort=stargazers,https://usememos.com,,,
cdklabs,https://github.com/cdklabs?q=&type=all&language=typescript&sort=stargazers,https://aws.amazon.com/cdk,,,
OpenRouterTeam,https://github.com/OpenRouterTeam?q=&type=all&language=typescript&sort=stargazers,https://openrouter.ai,,,
camunda-community-hub,https://github.com/camunda-community-hub?q=&type=all&language=typescript&sort=stargazers,https://camunda.com/developers/,,,
ChatGPTNextWeb,https://github.com/ChatGPTNextWeb?q=&type=all&language=typescript&sort=stargazers,https://nextchat.dev,,,
nuxt-modules,https://github.com/nuxt-modules?q=&type=all&language=typescript&sort=stargazers,https://nuxt.com/modules,,,
tabnine,https://github.com/tabnine?q=&type=all&language=typescript&sort=stargazers,https://www.tabnine.com,,,
HelloGitHub-Team,https://github.com/HelloGitHub-Team?q=&type=all&language=typescript&sort=stargazers,https://hellogithub.com,,,
SyncfusionExamples,https://github.com/SyncfusionExamples?q=&type=all&language=typescript&sort=stargazers,,,,
elysiajs,https://github.com/elysiajs?q=&type=all&language=typescript&sort=stargazers,https://elysiajs.com,,,
DouyinFE,https://github.com/DouyinFE?q=&type=all&language=typescript&sort=stargazers,,,,
KYVENetwork,https://github.com/KYVENetwork?q=&type=all&language=typescript&sort=stargazers,https://kyve.network,,,
antfu-collective,https://github.com/antfu-collective?q=&type=all&language=typescript&sort=stargazers,,,,
pkgxdev,https://github.com/pkgxdev?q=&type=all&language=typescript&sort=stargazers,https://pkgx.dev,,,
datalens-tech,https://github.com/datalens-tech?q=&type=all&language=typescript&sort=stargazers,https://datalens.tech,,,
FlashpointProject,https://github.com/FlashpointProject?q=&type=all&language=typescript&sort=stargazers,https://flashpointarchive.org,,,
subsquid-quests,https://github.com/subsquid-quests?q=&type=all&language=typescript&sort=stargazers,https://subsquid.io,,,
0xHoneyJar,https://github.com/0xHoneyJar?q=&type=all&language=typescript&sort=stargazers,https://www.0xhoneyjar.xyz/,,,
mswjs,https://github.com/mswjs?q=&type=all&language=typescript&sort=stargazers,https://mswjs.io,,,
utterance,https://github.com/utterance?q=&type=all&language=typescript&sort=stargazers,https://utteranc.es,,,
chathub-dev,https://github.com/chathub-dev?q=&type=all&language=typescript&sort=stargazers,https://chathub.gg,,,
SevenTV,https://github.com/SevenTV?q=&type=all&language=typescript&sort=stargazers,7tv.app,,,
twa-dev,https://github.com/twa-dev?q=&type=all&language=typescript&sort=stargazers,https://t.me/twa_dev,,,
unocss,https://github.com/unocss?q=&type=all&language=typescript&sort=stargazers,https://unocss.dev/,,,
SigNoz,https://github.com/SigNoz?q=&type=all&language=typescript&sort=stargazers,https://signoz.io/,,,
lbg-cloud-platform,https://github.com/lbg-cloud-platform?q=&type=all&language=typescript&sort=stargazers,,,,
